"ID","Sire","Dam"
"1736","816",NA
"2032",NA,"805"
"2098",NA,"5301"
"2175",NA,"3380"
"2176",NA,"3380"
"2293",NA,"3969"
"2451",NA,"3457"
"2452",NA,"3457"
"2629",NA,"5302"
"2634",NA,"5302"
"2750",NA,"320"
"2752",NA,"320"
"2780","349",NA
"2878",NA,"3401"
"2922",NA,"3454"
"2926",NA,"3454"
"2928","3715",NA
"2959",NA,"3964"
"3129",NA,"5689"
"3613",NA,"3609"
"3838",NA,"261"
"3846",NA,"3512"
"3919",NA,"4893"
"3920",NA,"4893"
"3922",NA,"4893"
"4021",NA,"3867"
"4025",NA,"3867"
"4029",NA,"3867"
"4386",NA,"928"
"4460",NA,"5448"
"4524",NA,"3396"
"4525",NA,"3396"
"4838",NA,"4964"
"4919",NA,"4894"
"4921",NA,"4894"
"5100",NA,"2395"
"5105",NA,"2395"
"5168",NA,"3510"
"5216",NA,"5085"
"5412",NA,"5458"
"5413",NA,"5458"
"5426",NA,"5444"
"5431",NA,"5444"
"5436",NA,"1223"
"5522","349",NA
"93","4418","2789"
"112","5081","4967"
"114","1742","4967"
"116","1703","4967"
"117","1669","4967"
"118","1686","4967"
"192","399","5082"
"353","1762","5466"
"476","399","2325"
"483","4357","537"
"880","2478","568"
"1915","5086","1572"
"1932","1108","1885"
"2064","5124","3942"
"2102","362","5301"
"2173","1072","3380"
"2174","1761","3380"
"2177","2417","3380"
"2218","1717","4961"
"2219","1694","4961"
"2270","4909","3968"
"2296","4418","3969"
"2454","1715","3457"
"2632","1146","5302"
"2739","1177","5496"
"2753","1092","320"
"2923","3883","3454"
"2924","2417","3454"
"2961","5124","3964"
"3006","2417","5088"
"3010","3189","5088"
"3126","1553","5689"
"3199","399","3382"
"3200","2417","3382"
"3201","2417","3382"
"3202","2147","3382"
"3270","4357","5687"
"3272","4357","5687"
"3273","3883","5687"
"3834","3189","261"
"3850","1669","3512"
"3851","5174","3512"
"3853","3373","3512"
"3918","1671","4893"
"4022","3883","3867"
"4222","3883","3437"
"4552","2949","2937"
"4839","462","4964"
