ID,Mother,BirthYear,Sex,BirthWt
1226,5260,1981,2,10.56
1811,1107,1981,2,8.42
1973,1093,1981,1,5.579999809
2032,805,1981,1,6.040000095
2128,593,1981,2,6.620000191
2176,3380,1981,2,7.955
2267,3968,1981,1,5.759999809
2452,3457,1981,2,6.979999809
2521,402,1981,2,7.965000381
2753,320,1981,2,7.659999809
2788,594,1981,2,6.64
2819,389,1981,1,4.619999809
2879,3401,1981,1,5.78
2923,3454,1981,2,8.039999619
2974,2977,1981,1,6.109999809
3126,5689,1981,2,8.720000191
3200,3382,1981,2,6.425
3461,5247,1981,1,5.109999809
3512,4179,1981,1,7.539999905
3720,3724,1981,2,7.489999809
3819,4414,1981,1,7.520000381
3970,3973,1981,1,5.28
4021,3867,1981,1,7.880000381
4118,483,1981,2,3.979999905
4136,5709,1981,1,7.534999809
4184,4187,1981,2,7.819999619
4210,4211,1981,2,4.600000095
4637,2407,1981,1,7.14
5029,909,1981,2,7.14
5101,2395,1981,2,6.979999809
5212,5085,1981,1,6.720000191
5304,4200,1981,2,9.395
5426,5444,1981,2,5.440000191
5502,4920,1981,2,6.250000095
192,5082,1982,2,5.85
263,5248,1982,2,7.875000381
370,386,1982,2,6.239999905
393,396,1982,1,5.180000095
518,2079,1982,2,6.449999905
582,596,1982,1,6.660000381
663,5456,1982,1,7.06
884,911,1982,2,6.14
896,1054,1982,1,6.519999905
928,908,1982,1,7.099999619
1127,342,1982,2,6.810000095
1147,910,1982,2,6.919999905
1799,401,1982,2,6.049999809
1885,5706,1982,1,7.539999809
2096,5301,1982,1,6.109999809
2164,3055,1982,1,5.119999809
2453,3457,1982,1,7.080000191
2522,402,1982,2,7.275
2789,594,1982,1,5.92
2959,3964,1982,1,5.379999905
2978,3057,1982,2,5.339999809
3006,5088,1982,2,4.799999905
3203,1059,1982,2,5.609999809
3439,1171,1982,2,7.329999905
3462,5247,1982,1,5.659999905
3942,5121,1982,1,6.455
4022,3867,1982,2,7.520000381
4137,5709,1982,2,7.220000191
4185,4187,1982,1,5.040000095
4222,3437,1982,2,7.339999809
4338,1173,1982,2,6.855000095
4468,860,1982,2,3.574999952
4533,3270,1982,1,5.720000095
4923,4894,1982,2,5.780000095
4964,5708,1982,1,7.999999619
5213,5085,1982,1,5.540000095
5240,3271,1982,2,6.320000095
5267,5268,1982,1,6.039999905
5305,4200,1982,1,6.024999905
5412,5458,1982,2,7.075000191
5436,1223,1982,1,7.319999619
